SH, 17, 2014030812,   , BEST,   0, 113S, 1400E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  170,  45,   0,   0,   P,   0,   X, 155,   4,    GILLIAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172014, JTWC, NCEP_TCVITALS, 
SH, 17, 2014030818,   , BEST,   0, 126S, 1402E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  45,   0,   0,   P,   0,   X, 165,   8,    GILLIAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172014, JTWC, NCEP_TCVITALS, 
SH, 17, 2014030900,   , BEST,   0, 128S, 1403E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  45,   0,   0,   P,   0,   X, 165,   7,    GILLIAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172014, JTWC, NCEP_TCVITALS, 
SH, 17, 2014030906,   , BEST,   0, 126S, 1403E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1005,  170,  45,   0,   0,   P,   0,   X, 165,   4,    GILLIAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172014, JTWC, NCEP_TCVITALS, 
SH, 17, 2014030912,   , BEST,   0, 128S, 1408E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  50,   0,   0,   P,   0,   X, 135,   3,    GILLIAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172014, JTWC, NCEP_TCVITALS, 
SH, 17, 2014030918,   , BEST,   0, 132S, 1410E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  50,   0,   0,   P,   0,   X, 135,   4,    GILLIAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172014, JTWC, NCEP_TCVITALS, 
SH, 17, 2014031000,   , BEST,   0, 135S, 1416E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  50,   0,   0,   P,   0,   X, 125,   5,    GILLIAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172014, JTWC, NCEP_TCVITALS, 
SH, 17, 2014031006,   , BEST,   0, 140S, 1413E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  190,  40,   0,   0,   P,   0,   X, 160,   4,    GILLIAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172014, JTWC, NCEP_TCVITALS, 
SH, 17, 2014031012,   , BEST,   0, 144S, 1410E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1007,  170,  30,   0,   0,   P,   0,   X, 190,   4,    GILLIAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172014, JTWC, NCEP_TCVITALS, 
SH, 17, 2014031018,   , BEST,   0, 146S, 1406E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1007,  190,  40,   0,   0,   P,   0,   X, 215,   4,    GILLIAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172014, JTWC, NCEP_TCVITALS, 
SH, 17, 2014031100,   , BEST,   0, 155S, 1418E,  30,  996, XX,  34, NEQ,    0,    0,    0,    0, 1009,  190,  40,   0,   0,   P,   0,   X, 160,   5,    GILLIAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH172014, JTWC, NCEP_TCVITALS, 
